,formula,bec_odd,coord_env,sym,spgnum,Eg,volume,eng/atom,Gvoigt,kvoigt,poisson,cauchy,sxx,syy,szz,sxy,syz,sxz,exx,eyy,ezz,odd_atom,atcharge,zxx,zyy,zzz,a,b,c,a^-2,b^-2,c^-2,alpha,beta,gamma,E_p,E_a,E_g,group,period,E_aff,block,R_vdw,R_at,atmass,atnum
mp-2133,ZnO,False,T:4,hexagonal,186,0.7317,49.718723054254085,-4.5503016875,42.0,130.0,0.36,72.0,188.0,188.0,205.0,37.0,37.0,39.0,10.533545386509143,10.533553613532725,11.438794,3,8,-2.126170099738955,-2.1261700997389545,-2.148429805927656,3.226696858398472,3.226696858398472,5.206941214148752,0.09604696974051606,0.09604696974051606,0.03688371443110335,90.0,90.0,120.00000000052397,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-569346,CuI,False,T:4,hexagonal,186,1.2172,110.06103843380156,-2.95655567,16.0,39.0,0.33,17.0,59.0,59.0,74.0,12.0,12.0,15.0,7.364499597948084,7.3645004021065565,8.004,3,53,-0.9518237598845469,-0.9518237598845463,-1.0001854991439763,4.193948710502836,4.193948710502836,6.909390882785561,0.05685305022568286,0.05685305022568286,0.02094693450673108,90.0,90.0,120.00000000056248,2.66,13.95,0.21951759999999998,17,5,3.0590368,p,198.0,,126.90447,53
mp-3642,ScCuO2,False,T:4,hexagonal,194,2.3309,104.36778908388393,-7.461213285,56.0,143.0,0.35,47.0,204.0,204.0,361.0,20.0,20.0,69.0,16.616235492620355,16.61622850751605,8.817729999999997,7,8,-2.3428122735142933,-2.342812273514296,-2.3210075734108173,3.2010474439866323,3.2010474439866323,11.2798224320658,0.09759235046831481,0.09759235046831481,0.007859510056867336,90.0,90.0,119.99999999925129,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-2542,BeO,False,T:4,hexagonal,186,7.4597999999999995,28.010130437105012,-7.1030642,157.0,208.0,0.2,-25.0,430.0,430.0,467.0,138.0,138.0,158.0,7.057982715748657,7.057987284340205,7.930459999999998,3,8,-1.790803446902034,-1.8525415828084333,-1.7908034469020337,2.691139789554204,2.691139789554204,4.369466815885574,0.13807895290524563,0.13807895290524563,0.052377300234924234,90.0,90.0,119.99999999973542,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-9775,NaSrAs,False,TT_1:9,hexagonal,189,0.8077000000000001,248.96165182756428,-3.427704706666667,,,,,,,,,,,18.74528256189101,18.745282438113087,20.271674,8,33,-3.0213629665868713,-3.0213629665868713,-3.644393118507944,7.770464127688013,7.770464127688013,4.550293939878059,0.016561744493257494,0.016561744493257494,0.04829710460945486,90.0,90.0,120.00000000011222,2.18,13.08,0.2068208,15,4,0.804,p,185.0,139.0,74.921595,33
mp-16764,RbYTe2,False,O:6,hexagonal,194,1.3667000000000002,304.3508459275378,-4.82689052375,16.0,27.0,0.26,2.0,48.0,48.0,48.0,15.0,15.0,16.0,15.548380791250448,15.548380208752718,8.937206000000002,7,52,-2.7045456328832063,-2.7045456328832107,-1.7841295004149447,4.4392456377663745,4.4392456377663745,16.835477946251203,0.05074364344549055,0.05074364344549055,0.0035281667243283036,90.0,90.0,120.00000000009318,2.1,12.76,0.20569920000000003,16,5,1.9708759999999999,p,206.0,160.0,127.6,52
mp-2400,NaS,False,FO:7,hexagonal,194,1.2346999999999997,181.50209256783256,-3.5532259325,,,,,,,,,,,6.731498750962938,6.731501249223308,11.213999999999999,7,16,-1.1054994607121842,-1.1054994607121846,-1.0010205210786287,4.460951598955422,4.460951598955422,10.063992647396152,0.05025103111582185,0.05025103111582185,0.009873232823945899,90.0,90.0,119.99999999959925,2.58,15.31,0.23596,16,3,2.07710403,p,180.0,127.0,32.06,16
mp-567680,BaCl2,False,C:12,hexagonal,189,4.5724,273.49033592253613,-4.400825935555556,,,,,,,,,,,12.253674686438593,12.253674313560367,18.729931999999998,8,17,-1.289120515858186,-1.5168331078564123,-1.1684850611964936,7.998455263112968,7.998455263112968,4.592492369918116,0.01563103587662894,0.01563103587662894,0.04741361983010541,90.0,90.0,120.00000000004482,3.16,16.97,0.263803,17,3,3.612725,p,175.0,,35.45,17
mp-1009129,MgO,False,T:6,hexagonal,187,3.0015000000000005,20.04035391084419,-5.59708554,100.0,140.0,0.35,88.0,324.0,324.0,539.0,-2.0,-2.0,119.0,13.623234052282973,13.623235949252884,14.718063,1,8,-2.1065895376573143,-1.9872103681834468,-1.9872103681834465,2.9086379282859496,2.9086379282859496,2.656848231886282,0.11820087025775172,0.11820087025775172,0.14166628539108667,90.0,90.0,119.99999999979248,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-11020,GaAgO2,False,T:4,hexagonal,194,0.5834000000000001,100.45064747320676,-5.17951190125,,,,,,,,,,,12.584748530229277,12.584748469770862,9.138344,7,8,-2.142639682881098,-2.1426396828811005,-2.3720791040551945,2.9844095514458853,2.9844095514458853,12.345173090544025,0.11227502423711942,0.11227502423711942,0.006561537768232504,90.0,90.0,120.00000000038912,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-541899,CsCdBr3,False,PP:6,hexagonal,194,2.9022,371.81578787397314,-2.620679771,9.0,14.0,0.23,-1.0,24.0,24.0,33.0,8.0,8.0,8.0,9.343974460203057,9.343974539797399,36.942955000000005,9,35,-1.4281629738551556,-0.8465120554954195,-1.3975249005767174,7.617626608073045,7.617626608073045,6.702372729292434,0.01723299007090246,0.01723299007090246,0.02226090663097245,90.0,90.0,120.0000000002681,2.96,15.88,0.2412578,17,4,3.3635882000000006,p,185.0,,79.904,35
mp-10281,ZnS,False,T:4,hexagonal,186,2.0481,162.05746016414844,-3.50753766875,34.0,69.0,0.29,24.0,117.0,117.0,132.0,28.0,28.0,33.0,9.097001271030082,9.09699872897068,9.383,7,16,-1.9247046642202934,-1.964439648514702,-1.9247046642202936,3.7837824289440203,3.7837824289440203,12.389110832707834,0.06984698879499665,0.06984698879499665,0.006515079562336333,90.0,90.0,120.0000000004234,2.58,15.31,0.23596,16,3,2.07710403,p,180.0,127.0,32.06,16
mp-568536,BaI2,False,C:12,hexagonal,189,3.0499,391.8804679110261,-3.4479276566666663,8.0,22.0,0.34,10.0,31.0,31.0,28.0,11.0,11.0,5.0,14.516001088550908,14.515998911749175,24.261000000000003,8,53,-1.5385106606308836,-1.298333373855011,-1.1641921032710818,9.057684602502643,9.057684602502643,5.098408139574091,0.012188930812962965,0.012188930812962965,0.0384707632213265,90.0,90.0,119.99999999963802,2.66,13.95,0.21951759999999998,17,5,3.0590368,p,198.0,,126.90447,53
mp-9631,AlAgO2,False,T:4,hexagonal,194,1.4085,91.44468655532995,-6.08158965375,81.0,156.0,0.33,61.0,281.0,281.0,442.0,20.0,20.0,100.0,11.57535305417253,11.57535194580778,9.024518,7,8,-1.9860265119640337,-1.9860265119640328,-2.389815436321656,2.8789059858238533,2.8789059858238533,12.184681367952992,0.12065491960608828,0.12065491960608828,0.00673552800908978,90.0,90.0,119.9999999993708,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-9732,BaNaP,False,TT_1:9,hexagonal,189,0.8556000000000004,260.8908926266966,-3.6557446177777777,,,,,,,,,,,20.179224009221635,20.179225990741056,22.953429999999997,8,15,-3.2614286886667396,-3.2614286886667396,-4.128821843441045,7.871415590071211,7.871415590071211,4.637217615688597,0.01613965751742482,0.01613965751742482,0.04650343634774716,90.0,90.0,119.99999999952682,2.19,13.33,0.206931,15,3,0.746607,p,180.0,128.0,30.973761998,15
mp-7738,LaSeF,False,TT_1:9,hexagonal,194,1.7263000000000002,128.4216518434505,-6.439157028333334,,,,,,,,,,,19.714216183855093,19.714216815339643,24.301277,5,9,-2.213964648727549,-2.2139646487275484,-1.1663658329116884,4.174138234372362,4.174138234372362,8.12350501492952,0.05739398040570272,0.05739398040570272,0.015153504915176301,90.0,90.0,119.9999999997137,3.98,24.8,0.344443,17,2,3.4011897000000006,p,147.0,,18.998403163,9
mp-14017,K3Sb,False,H:11,hexagonal,194,0.39380000000000015,353.7150568054444,-2.269676915,,,,,,,,,,,13.277500624019645,13.277499375745611,14.939000000000004,7,51,-2.6388700124392916,-2.6388700124392903,-2.7662721435505713,6.0147329944149375,6.0147329944149375,10.674871856054137,0.027641861979124296,0.027641861979124296,0.008775556350691072,90.0,90.0,119.99999999999474,2.05,11.74,0.19187739999999998,15,5,1.046,p,206.0,159.0,121.76,51
mp-9573,NaBeAs,False,TL:3,hexagonal,194,1.2979000000000003,114.94104262896538,-3.62948268,39.0,52.0,0.21,17.0,152.0,152.0,55.0,17.0,17.0,59.0,13.638594468650599,13.638594531350467,10.556356000000005,5,33,-2.7311228239879686,-2.7311228239879695,-1.555453395683283,3.8053600522073303,3.8053600522073303,8.857036756236303,0.0690571244843907,0.0690571244843907,0.012747443802363857,90.0,90.0,120.00000000027374,2.18,13.08,0.2068208,15,4,0.804,p,185.0,139.0,74.921595,33
